"","rent_count","year","month","day","day_of_week","season","temperature","humudity","holiday","wind_speed","visibility","dewpoint_temp","solar_radiation","rainfall","snowfall"
"1",9539,"2017","12","01","4","Winter",-1.1,37.5,"No Holiday",1.4,20000,-17.4,0,0,0
"2",8523,"2017","12","02","5","Winter",2.7,55.5,"No Holiday",1.6,14410,-5.55,0,0,0
"3",7222,"2017","12","03","6","Winter",4.35,84.5,"No Holiday",1.6,3380,2.65,0,4,0
"4",8729,"2017","12","04","0","Winter",-0.25,43.5,"No Holiday",3.6,19130,-12.95,0,0.1,0
"5",8307,"2017","12","05","1","Winter",-3.8,34.5,"No Holiday",0,20000,-17.7,0,0,0
"6",6669,"2017","12","06","2","Winter",1.15,76.5,"No Holiday",0.55,13965,-6.3,0,1.3,86
"7",8549,"2017","12","07","3","Winter",1.4,67,"No Holiday",1.85,7305,-2.5,0,0,104
"8",8032,"2017","12","08","4","Winter",-3.5,41,"No Holiday",1.55,19385,-15.5,0,0,0
"9",7233,"2017","12","09","5","Winter",-0.3,48,"No Holiday",0.9,19490,-10.8,0,0,0
"10",3453,"2017","12","10","6","Winter",0.35,64,"No Holiday",1.1,8880,-3,0,4.1,325
"11",5848,"2017","12","11","0","Winter",-5.75,38,"No Holiday",3.7,20000,-18,0,0,0
"12",5496,"2017","12","12","1","Winter",-9.35,45,"No Holiday",2.15,19890,-20,0,0,0
"13",6019,"2017","12","13","2","Winter",-9.05,39,"No Holiday",1.65,19795,-20.35,0,0,0
"14",6398,"2017","12","14","3","Winter",-5.85,44,"No Holiday",0.9,16495,-18.1,0,0,0
"15",7198,"2017","12","15","4","Winter",-2.7,50.5,"No Holiday",0.8,9675,-12.9,0,0,0
"16",4632,"2017","12","16","5","Winter",-5.25,41,"No Holiday",2.85,19730,-18.65,0,0,0
"17",3776,"2017","12","17","6","Winter",-7.05,40,"No Holiday",1.95,20000,-19.9,0,0,0
"18",2620,"2017","12","18","0","Winter",-2.35,81,"No Holiday",0.95,4645,-4.75,0,3.4,597
"19",4334,"2017","12","19","1","Winter",-3.65,55.5,"No Holiday",2.1,18125,-12.9,0,0,556
"20",4568,"2017","12","20","2","Winter",-3.7,67,"No Holiday",1.1,16920,-12.3,0,0.2,483
"21",5734,"2017","12","21","3","Winter",-1.2,76,"No Holiday",1.25,7145,-4.95,0,0,389
"22",7184,"2017","12","22","4","Winter",3.8,68,"Holiday",0.8,7975,-3.75,0,0,77
"23",6624,"2017","12","23","5","Winter",5.65,76.5,"No Holiday",1.1,2635,2,0,0,0
"24",2014,"2017","12","24","6","Winter",4.35,83,"Holiday",1.2,2335,2.1,0,20,0
"25",3966,"2017","12","25","0","Winter",-1.75,45,"Holiday",2.55,20000,-13.85,0,0,0
"26",5605,"2017","12","26","1","Winter",-2.65,37.5,"No Holiday",3.1,19975,-18.2,0,0,0
"27",5351,"2017","12","27","2","Winter",-6.6,33.5,"No Holiday",2.1,20000,-21.55,0,0,0
"28",6594,"2017","12","28","3","Winter",-1.45,40,"No Holiday",1.3,17745,-14.55,0,0,0
"29",7663,"2017","12","29","4","Winter",1.1,64.5,"No Holiday",0.9,4945,-3.25,0,0,0
"30",4027,"2017","12","30","5","Winter",1.6,81,"No Holiday",0.85,2485,-2.9,0,0.5,0
"31",3423,"2017","12","31","6","Winter",0.15,54.5,"Holiday",2.15,10945,-7.15,0,1.2,143
"32",4290,"2018","01","01","0","Winter",-1.45,40,"Holiday",1.1,19170,-13.5,0,0,0
"33",6446,"2018","01","02","1","Winter",-2,37.5,"No Holiday",1.95,17665,-13.7,0,0,0
"34",6512,"2018","01","03","2","Winter",-4.75,42.5,"No Holiday",2.2,19860,-15.95,0,0,0
"35",6453,"2018","01","04","3","Winter",-4.2,44.5,"No Holiday",1.4,18550,-15.15,0,0,0
"36",6967,"2018","01","05","4","Winter",-3.55,50.5,"No Holiday",1.5,14180,-12.55,0,0,0
"37",5180,"2018","01","06","5","Winter",-2.9,47,"No Holiday",1.4,15405,-13.25,0,0,0
"38",4714,"2018","01","07","6","Winter",0.8,39.5,"No Holiday",0.7,14205,-12.5,0,0,0
"39",5711,"2018","01","08","0","Winter",0.9,43,"No Holiday",1.25,12675,-10.15,0,0.9,45
"40",5500,"2018","01","09","1","Winter",-4.05,58.5,"No Holiday",3.2,15530,-11.6,0,0,108
"41",4161,"2018","01","10","2","Winter",-6.75,52,"No Holiday",2.85,20000,-15.5,0,0.8,102
"42",4017,"2018","01","11","3","Winter",-11,51,"No Holiday",2.65,18395,-19.55,0,0,0
"43",4111,"2018","01","12","4","Winter",-10.4,36.5,"No Holiday",1.7,20000,-23.5,0,0,0
"44",3503,"2018","01","13","5","Winter",-4.6,67,"No Holiday",0.8,9115,-9.25,0,0.4,22
"45",4225,"2018","01","14","6","Winter",0.35,62,"No Holiday",1.05,5435,-6.25,0,0,0
"46",6334,"2018","01","15","0","Winter",4.4,62.5,"No Holiday",1.45,5710,-2.2,0,0.2,0
"47",6705,"2018","01","16","1","Winter",3.9,59.5,"No Holiday",0.75,4285,-3.85,0,0,0
"48",6292,"2018","01","17","2","Winter",3.4,65.5,"No Holiday",0.95,3315,-1.8,0,0,0
"49",6383,"2018","01","18","3","Winter",2.35,72,"No Holiday",2,3035,-2.05,0,0,0
"50",7472,"2018","01","19","4","Winter",0.15,44.5,"No Holiday",1.55,15190,-11.15,0,0,0
"51",5576,"2018","01","20","5","Winter",1.8,60,"No Holiday",1.45,8830,-5.65,0,0,0
"52",4973,"2018","01","21","6","Winter",-0.3,32,"No Holiday",1.05,13365,-14.55,0,0,0
"53",4503,"2018","01","22","0","Winter",0,33,"No Holiday",0.9,15895,-13.5,0,3.3,62
"54",3981,"2018","01","23","1","Winter",-11.4,42,"No Holiday",3.75,20000,-22.6,0,0,233
"55",3154,"2018","01","24","2","Winter",-14.65,30,"No Holiday",3.45,20000,-27.9,0,0,197
"56",3113,"2018","01","25","3","Winter",-14.75,33,"No Holiday",2.75,20000,-26.7,0,0,142
"57",2931,"2018","01","26","4","Winter",-14.85,34,"No Holiday",2.5,18840,-27.65,0,0,103
"58",2693,"2018","01","27","5","Winter",-8.75,39,"No Holiday",1.25,18485,-22.35,0,0,44
"59",2828,"2018","01","28","6","Winter",-7.4,35,"No Holiday",2.45,19865,-19.65,0,0,0
"60",4088,"2018","01","29","0","Winter",-9.05,39,"No Holiday",2.9,19650,-20.35,0,0,0
"61",3360,"2018","01","30","1","Winter",-3.85,53,"No Holiday",1.15,18920,-17.3,0,2.9,194
"62",3830,"2018","01","31","2","Winter",-2.2,50.5,"No Holiday",1.6,18795,-12.2,0,0,648
"63",5377,"2018","02","01","3","Winter",-4.2,48.5,"No Holiday",1.55,19525,-15.25,0,0,217
"64",5954,"2018","02","02","4","Winter",-2.5,55,"No Holiday",1.5,16765,-12.8,0,0,0
"65",3290,"2018","02","03","5","Winter",-6.45,44,"No Holiday",4,19765,-18.65,0,0.5,22
"66",2487,"2018","02","04","6","Winter",-10,44,"No Holiday",3.25,19875,-20.5,0,0,0
"67",3932,"2018","02","05","0","Winter",-10.05,39,"No Holiday",3.45,20000,-22.1,0,0,0
"68",3988,"2018","02","06","1","Winter",-10.75,36,"No Holiday",3.25,19885,-23.1,0,0,0
"69",4697,"2018","02","07","2","Winter",-7.3,47,"No Holiday",1.6,18645,-20.9,0,0,0
"70",5613,"2018","02","08","3","Winter",-4.1,43,"No Holiday",1.15,16810,-15.2,0,0,0
"71",6268,"2018","02","09","4","Winter",0.7,40.5,"No Holiday",0.9,12190,-14.5,0,0,0
"72",4425,"2018","02","10","5","Winter",1.6,57.5,"No Holiday",2.85,5870,-4.8,0,0,0
"73",2850,"2018","02","11","6","Winter",-6.35,37,"No Holiday",2.7,19855,-18,0,0,0
"74",4813,"2018","02","12","0","Winter",-5.5,35.5,"No Holiday",2.75,19930,-17.45,0,0,0
"75",6267,"2018","02","13","1","Winter",0.35,57,"No Holiday",3.1,19795,-11.15,0,0,0
"76",6771,"2018","02","14","2","Winter",2.45,64.5,"No Holiday",2.55,14780,-4.3,0,0,0
"77",3484,"2018","02","15","3","Winter",-1.1,30,"Holiday",2.45,20000,-17.25,0,0,0
"78",2593,"2018","02","16","4","Winter",-0.95,38,"Holiday",1.85,19510,-16,0,0,0
"79",3118,"2018","02","17","5","Winter",-2.75,29,"Holiday",2.5,20000,-20.8,0,0,0
"80",4562,"2018","02","18","6","Winter",-0.5,29,"No Holiday",1.15,20000,-18.8,0,0,0
"81",7604,"2018","02","19","0","Winter",1.4,43.5,"No Holiday",1.55,11240,-8.05,0,0,0
"82",7955,"2018","02","20","1","Winter",0.8,30.5,"No Holiday",2.6,15250,-13.45,0,0,0
"83",7491,"2018","02","21","2","Winter",-1.7,31,"No Holiday",2.2,19975,-17.7,0,0,0
"84",7712,"2018","02","22","3","Winter",2.8,57.5,"No Holiday",2,14230,-6.9,0,0,0
"85",5797,"2018","02","23","4","Winter",4.55,80.5,"No Holiday",2.05,2420,0.25,0,4.1,447
"86",6356,"2018","02","24","5","Winter",2.45,44.5,"No Holiday",2.6,6855,-8.25,0.005,0,0
"87",6500,"2018","02","25","6","Winter",0.1,42.5,"No Holiday",1.8,16965,-11.7,0.005,0,0
"88",9247,"2018","02","26","0","Winter",2.75,39.5,"No Holiday",1.1,13085,-8.85,0.005,0,0
"89",8862,"2018","02","27","1","Winter",5.05,46.5,"No Holiday",0.8,8420,-6.95,0,0,0
"90",3820,"2018","02","28","2","Winter",5.2,59,"No Holiday",2.05,5260,-1.85,0,23,0
"91",5132,"2018","03","01","3","Spring",1.3,52,"Holiday",3.7,12590,-9.05,0.005,2.5,0
"92",8433,"2018","03","02","4","Spring",0.2,34.5,"No Holiday",1.6,16145,-15.25,0.01,0,0
"93",12191,"2018","03","03","5","Spring",8.75,34.5,"No Holiday",1.6,18305,-11.55,0.005,0,0
"94",4688,"2018","03","04","6","Spring",9.7,89.5,"No Holiday",1.15,3965,8.1,0,2.5,0
"95",8597,"2018","03","05","0","Spring",5.75,64.5,"No Holiday",1.95,20000,0.05,0.01,12.5,0
"96",12003,"2018","03","06","1","Spring",4.1,42.5,"No Holiday",1.3,18780,-6.2,0.01,0,0
"97",11170,"2018","03","07","2","Spring",6.6,48,"No Holiday",1.7,19625,-3.7,0,0,0
"98",7711,"2018","03","08","3","Spring",4,78,"No Holiday",2.05,6295,1.25,0.005,4.5,0
"99",11642,"2018","03","09","4","Spring",3.5,67,"No Holiday",1.3,10535,-2.05,0.01,0,0
"100",11064,"2018","03","10","5","Spring",5,72,"No Holiday",2,9295,-2,0.01,0,0
"101",11843,"2018","03","11","6","Spring",5.5,47,"No Holiday",1.9,6550,-2.4,0.02,0,0
"102",13339,"2018","03","12","0","Spring",7.3,46.5,"No Holiday",1.05,7910,-4.6,0.015,0,0
"103",15963,"2018","03","13","1","Spring",13,58.5,"No Holiday",1.45,9455,3.05,0.02,0,0
"104",19180,"2018","03","14","2","Spring",16.15,64.5,"No Holiday",2.15,18430,8.4,0.02,0,0
"105",6227,"2018","03","15","3","Spring",13.6,97,"No Holiday",2,4220,10.9,0,27,0
"106",15277,"2018","03","16","4","Spring",6.7,46,"No Holiday",1.95,20000,-3.8,0.03,0,0
"107",15389,"2018","03","17","5","Spring",6.7,50.5,"No Holiday",1.35,17775,-5.35,0.03,0,0
"108",9609,"2018","03","18","6","Spring",7.75,54.5,"No Holiday",1.15,8365,-1.7,0.005,0,0
"109",8968,"2018","03","19","0","Spring",8.1,64,"No Holiday",2.7,16005,3.4,0.005,1.5,0
"110",11515,"2018","03","20","1","Spring",4.8,42,"No Holiday",3.4,20000,-6.9,0.02,0,0
"111",7384,"2018","03","21","2","Spring",1.65,47,"No Holiday",1.85,20000,-6.95,0,1,0
"112",14007,"2018","03","22","3","Spring",4.2,64,"No Holiday",2,10990,-2.25,0.045,0,0
"113",14969,"2018","03","23","4","Spring",5.35,61.5,"No Holiday",1.7,7455,-1.5,0.035,0,0
"114",12243,"2018","03","24","5","Spring",6.6,54,"No Holiday",2.3,4015,0.85,0.03,0,0
"115",10963,"2018","03","25","6","Spring",8.6,73.5,"No Holiday",1.6,2185,2.25,0.05,0,0
"116",13084,"2018","03","26","0","Spring",10.35,61,"No Holiday",1.9,3145,4.55,0.05,0,0
"117",14710,"2018","03","27","1","Spring",13.15,64.5,"No Holiday",1.4,4635,4.4,0.045,0,0
"118",17295,"2018","03","28","2","Spring",13.9,68,"No Holiday",1.95,6640,7.25,0.05,0,0
"119",17450,"2018","03","29","3","Spring",13.95,70,"No Holiday",1.8,5465,9.15,0.06,0,0
"120",19301,"2018","03","30","4","Spring",13.7,61,"No Holiday",1.55,8155,5,0.065,0,0
"121",19247,"2018","03","31","5","Spring",13.05,52.5,"No Holiday",1.65,11530,4.2,0.06,0,0
"122",17388,"2018","04","01","6","Spring",16.5,69,"No Holiday",1.8,8425,7.9,0.015,0,0
"123",21585,"2018","04","02","0","Spring",17.45,66,"No Holiday",1.7,11765,11.05,0.055,0,0
"124",21015,"2018","04","03","1","Spring",17.3,71.5,"No Holiday",2,12845,12.15,0.015,0,0
"125",19995,"2018","04","04","2","Spring",14.2,61.5,"No Holiday",1.95,20000,6.15,0.08,18.6,0
"126",2596,"2018","04","05","3","Spring",7.6,94.5,"No Holiday",1.95,9045,6.5,0,10,0
"127",11520,"2018","04","06","4","Spring",6.65,72,"No Holiday",3.2,7620,2.35,0.095,7,0
"128",11159,"2018","04","07","5","Spring",3.65,42,"No Holiday",3.95,19205,-6.95,0.135,0.2,0
"129",6666,"2018","04","08","6","Spring",2.9,51,"No Holiday",1.75,19970,-6.95,0.035,3,0
"130",19082,"2018","04","09","0","Spring",8.55,49,"No Holiday",0.95,11240,-1.25,0.1,0,0
"131",16696,"2018","04","10","1","Spring",15.5,45,"No Holiday",2.85,16220,1.8,0.055,5,0
"132",22729,"2018","04","12","3","Spring",13.45,28.5,"No Holiday",2.35,19750,-2.9,0.19,0,0
"133",23240,"2018","04","13","4","Spring",15.95,22,"No Holiday",1.35,20000,-7.95,0.085,0,0
"134",6980,"2018","04","14","5","Spring",8.9,79.5,"No Holiday",1.65,14470,5.6,0.015,9,0
"135",10207,"2018","04","15","6","Spring",9.3,65.5,"No Holiday",2.15,13245,3.4,0.17,0,0
"136",23198,"2018","04","16","0","Spring",10.95,34.5,"No Holiday",1.35,18735,-1.65,0.22,0,0
"137",22234,"2018","04","17","1","Spring",11.85,31,"No Holiday",1.15,16110,-1.85,0.215,0,0
"138",21670,"2018","04","18","2","Spring",11.7,40,"No Holiday",1.9,14660,-2.95,0.2,0,0
"139",17730,"2018","04","19","3","Spring",13.8,38.5,"No Holiday",1.7,11730,-1.05,0.175,0,0
"140",22593,"2018","04","20","4","Spring",18.2,46.5,"No Holiday",1.25,8075,5.1,0.195,0,0
"141",24404,"2018","04","21","5","Spring",17.95,26,"No Holiday",1.5,14365,-1.25,0.28,0,0
"142",6852,"2018","04","22","6","Spring",15.9,44,"No Holiday",0.9,18975,5.55,0.065,13.5,0
"143",977,"2018","04","23","0","Spring",9.4,95,"No Holiday",2.25,5045,8.5,0.015,61,0
"144",20144,"2018","04","24","1","Spring",11.75,59.5,"No Holiday",1.35,20000,6.75,0.08,3,0
"145",26285,"2018","04","25","2","Spring",15,35,"No Holiday",1.1,19670,-0.55,0.28,0,0
"146",25670,"2018","04","26","3","Spring",13.7,52,"No Holiday",2.2,13105,4.35,0.255,0,0
"147",25861,"2018","04","27","4","Spring",15,55,"No Holiday",1.5,9795,4.75,0.23,0,0
"148",24940,"2018","04","28","5","Spring",14.5,45.5,"No Holiday",1.75,13900,3,0.3,0,0
"149",25349,"2018","04","29","6","Spring",15.85,42.5,"No Holiday",1.7,12300,2.45,0.205,0,0
"150",25462,"2018","04","30","0","Spring",18.75,60.5,"No Holiday",1.4,4935,11.05,0.155,0,0
"151",26820,"2018","05","01","1","Spring",20.4,72.5,"Holiday",1.1,4790,15.2,0.135,0,0
"152",7448,"2018","05","02","2","Spring",17.45,90.5,"No Holiday",1.1,3440,15.3,0,12,0
"153",21027,"2018","05","03","3","Spring",12.05,59.5,"No Holiday",2.7,19185,4.15,0.38,1,0
"154",26670,"2018","05","04","4","Spring",13.7,46,"No Holiday",2.3,18485,1.45,0.33,0,0
"155",25353,"2018","05","05","5","Spring",19.1,51,"No Holiday",2.8,18585,4.6,0.285,0,0
"156",14556,"2018","05","06","6","Spring",16.4,84,"No Holiday",1,14910,14.35,0.055,22,0
"157",28140,"2018","05","07","0","Spring",18.05,66.5,"No Holiday",1,18465,11.45,0.22,0,0
"158",26429,"2018","05","08","1","Spring",16.65,50,"No Holiday",1.7,20000,8.1,0.36,0,0
"159",28895,"2018","05","09","2","Spring",16,53,"No Holiday",1.45,20000,4.1,0.38,0,0
"160",26649,"2018","05","11","4","Spring",16.3,55,"No Holiday",1.5,5015,9.2,0.08,0,0
"161",3034,"2018","05","12","5","Spring",14.7,96.5,"No Holiday",0.9,3115,11.55,0.015,31.5,0
"162",25913,"2018","05","13","6","Spring",15.15,87.5,"No Holiday",1.65,8305,12.65,0.18,1,0
"163",27793,"2018","05","14","0","Spring",18.65,69,"No Holiday",1.4,3495,11.8,0.27,0,0
"164",28478,"2018","05","15","1","Spring",24.8,54.5,"No Holiday",0.9,8370,12.55,0.23,0,0
"165",6416,"2018","05","16","2","Spring",22.05,95,"No Holiday",1.6,3345,21.2,0.005,44.5,0
"166",3521,"2018","05","17","3","Spring",21.5,97,"No Holiday",1,3865,20.15,0,82.5,0
"167",16087,"2018","05","18","4","Spring",16.7,96,"No Holiday",1.5,6160,15.85,0.065,7.5,0
"168",30994,"2018","05","19","5","Spring",17.8,40.5,"No Holiday",1.4,20000,5.95,0.485,0,0
"169",27829,"2018","05","20","6","Spring",16.9,32,"No Holiday",1.3,20000,0.35,0.43,0,0
"170",31236,"2018","05","21","0","Spring",17.7,31,"No Holiday",1.3,20000,2.5,0.385,0,0
"171",13790,"2018","05","22","1","Spring",17.4,70,"Holiday",1.05,13560,12.25,0.095,9,0
"172",27674,"2018","05","23","2","Spring",15.9,59.5,"No Holiday",3,19310,8.45,0.48,10,0
"173",28781,"2018","05","24","3","Spring",18.95,48,"No Holiday",2,15985,6,0.415,0,0
"174",29057,"2018","05","25","4","Spring",19.3,47.5,"No Holiday",1.7,13860,8.05,0.445,0,0
"175",28079,"2018","05","26","5","Spring",21.45,51,"No Holiday",1.1,11455,9.35,0.445,0,0
"176",28991,"2018","05","27","6","Spring",19.95,39.5,"No Holiday",1.8,17155,8.1,0.305,0,0
"177",31020,"2018","05","28","0","Spring",21.75,45,"No Holiday",1.1,17825,10.9,0.405,0,0
